Time (s),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s)
0.000144243,0,0,0,0
0.001517534,0,0,0,0
0.201839209,0,0,0,0
0.401994228,0,0,0,0
0.601930141,0,0,0,0
0.801944971,0,0,0,0
1.001883507,0,0,0,0
1.201887608,0,0,0,0
1.402085543,0,0,0,0
1.60188365,0,0,0,0
1.801938772,0,0,-1,0
2.001909971,0,-0.011,-1,-0.395000011
2.202032328,0,0,-1,-0.964999974
2.401962519,0,0.003,-1,-1.097000003
2.601940393,0,0.003,-1,-1.097000003
2.80193162,0,0,-1,-1.052999973
3.00191164,0,-0.003,-1,-1.008999944
3.202020884,0,0,-1,-1.052999973
3.401962042,0,0,-1,-0.964999974
3.601988792,0,0,-1,-1.052999973
3.801920414,0,0,1,-0.964999974
4.00191617,0,0.003,1,0.395000011
4.201939344,0,0.003,1,0.921999991
4.401932955,0,0,1,0.964999974
4.601929426,0,0,1,0.964999974
4.801921844,0,0.003,1,0.921999991
5.001908302,0,0,1,0.964999974
5.20181489,0,-0.003,1,0.921999991
5.401736021,0,0.003,1,0.921999991
5.601661921,0,0,1,0.964999974
5.801728249,0,0,1,0.964999974
6.001725197,0,-0.003,1,1.008999944
6.201669216,0,-0.003,1,1.008999944
6.401982069,0,0,1,1.052999973
6.602072001,0,0,1,0.964999974
6.802036762,0,0,1,1.052999973
7.00191474,0,0,1,0.964999974
7.201925993,0,-0.003,1,1.008999944
7.401769638,0,0,1,1.052999973
7.602586031,0,0.003,1,1.008999944
7.801898718,0,0,1,0.964999974
8.001882792,0,0.003,1,0.921999991
8.201835155,0,0,1,0.964999974
8.401736021,0,0.003,1,0.921999991
8.601909637,0,0.003,1,1.008999944
8.801865578,0,0.003,1,1.008999944
9.001880646,0,0,1,0.964999974
9.201779842,0,0,1,0.964999974
9.401792049,0,0,1,0.964999974
9.601806164,0,0,1,1.052999973
9.801748276,0,0,1,1.052999973
10.00172043,0,0.003,1,1.008999944
10.20191836,0,-0.003,1,1.008999944
10.40210271,0,0,1,1.052999973
10.60184312,0,0,1,1.052999973
10.80197954,0,0.003,1,1.008999944
11.00181985,0,-0.003,1,0.921999991
11.20178366,0,0.003,1,0.921999991
11.40173411,0,0,1,1.052999973
11.60196447,0,0,1,0.964999974
11.80199528,0,0,-1,0.964999974
12.00199318,0,0.003,-1,-0.395000011
12.20190883,0,0,-1,-0.790000021
12.40192938,0,-0.003,-1,-1.008999944
12.602,0,-0.003,-1,-1.008999944
