Time (s),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s)
7.94E-05,0,0,0,0
0.000998974,0,0,0,0
0.201454163,0,0,0,0
0.401388168,0,0,0,0
0.601418495,0,0,0,0
0.801377535,0,0,0,0
1.001294136,0,0,0,0
1.20152545,0,0,0,0
1.401531935,0,0,0,0
1.601294041,0,0,0,0
1.801292658,0.2,0,0,0
2.001273632,0.2,0.123999998,0,0.043000001
2.20126009,0.2,0.225999996,0,0
2.401302814,0.2,0.200000003,0,-0.043000001
2.601295471,0.2,0.200000003,0,0.043000001
2.801267862,0.2,0.200000003,0,-0.043000001
3.001373291,0.2,0.202999994,0,0
3.20143795,0.2,0.200000003,0,-0.043000001
3.40143466,0.2,0.195999995,0,-0.086999997
3.601480246,0.2,0.207000002,0,-0.043000001
3.801361799,0.2,0.200000003,0,0.043000001
4.001432896,0.2,0.195999995,0,0
4.201371908,0.2,0.200000003,0,0.043000001
4.401309967,0.2,0.195999995,0,0
4.601284981,0.2,0.202999994,0,0
4.801453114,0.2,0.195999995,0,0
5.001498461,0.2,0.195999995,0,0
5.201357365,0.2,0.202999994,0,0
5.401333332,0.2,0.200000003,0,0.043000001
5.601290941,0.2,0.202999994,0,0
5.801357985,-0.2,0.187999994,0,0
6.001307964,-0.2,-0.101000004,0,-0.043000001
6.201277494,-0.2,-0.218999997,0,0
6.401542664,-0.2,-0.200000003,0,0.043000001
6.601461887,-0.2,-0.195999995,0,-0.086999997
6.801354647,-0.2,-0.207000002,0,-0.043000001
7.001272202,-0.2,-0.200000003,0,0.043000001
7.201279879,-0.2,-0.200000003,0,-0.043000001
7.401292801,-0.2,-0.202999994,0,0
7.601299763,-0.2,-0.192000002,0,-0.043000001
7.801395893,0.2,-0.192000002,0,0.043000001
8.001331329,0.2,0.112999998,0,0
8.201257944,0.2,0.218999997,0,0.086999997
8.401288509,0.2,0.210999995,0,0
8.601333857,0.2,0.192000002,0,0.043000001
8.8012743,0.2,0.202999994,0,0.086999997
9.001266718,0.2,0.202999994,0,0
9.201422453,0.2,0.192000002,0,-0.043000001
9.401411772,0.2,0.195999995,0,0
9.601302147,0.2,0.202999994,0,0
9.801265955,-0.2,0.195999995,0,0
10.00127745,-0.2,-0.101000004,0,-0.043000001
10.20139456,-0.2,-0.215000004,0,0.043000001
10.40146875,-0.2,-0.207000002,0,-0.043000001
10.60142279,-0.2,-0.192000002,0,-0.043000001
10.80131221,-0.2,-0.202999994,0,-0.086999997
11.00128388,-0.2,-0.195999995,0,0.086999997
11.20129609,-0.2,-0.202999994,0,0
11.40129423,-0.2,-0.200000003,0,0.043000001
11.60128617,-0.2,-0.195999995,0,0
11.80130863,0.2,-0.200000003,0,-0.043000001
12.00131226,0.2,0.097999997,0,0
12.20129132,0.2,0.210999995,0,0
12.40127254,0.2,0.207000002,0,-0.043000001
12.60129952,0.2,0.195999995,0,0
