Time (s),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s)
0.0001266,0,0,0,0
0.00121665,0,0,0,0
0.201498747,0,0,0,0
0.40129447,0,0,0,0
0.60132885,0,0,0,0
0.801450968,0,0,0,0
1.001595497,0,0,0,0
1.201676607,0,0,0,0
1.401331663,0,0,0,0
1.603706121,0,0,0,0
1.801475525,0,0,0.6,0
2.001288414,0,-0.003,0.6,0.218999997
2.201439381,0,0.003,0.6,0.395000011
2.401432037,0,0.003,0.6,0.569999993
2.601400614,0,0.003,0.6,0.657999992
2.801342726,0,0,0.6,0.614000022
3.00176549,0,-0.003,0.6,0.569999993
3.201706171,0,0,0.6,0.614000022
3.402212381,0,0.003,0.6,0.657999992
3.601785183,0,0,0.6,0.614000022
3.801562071,0,0.003,0.6,0.657999992
4.001432419,0,0,0.6,0.614000022
4.201458931,0,0,0.6,0.614000022
4.401434183,0,-0.003,0.6,0.657999992
4.601317644,0,0,0.6,0.614000022
4.801295042,0,0,0.6,0.614000022
5.001867056,0,0,0.6,0.614000022
5.201459646,0,0,0.6,0.614000022
5.401307583,0,-0.003,0.6,0.569999993
5.601342201,0,0.007,0.6,0.614000022
5.801489592,0,0,-0.6,0.614000022
6.001461029,0,0,-0.6,-0.086999997
6.201294661,0,-0.003,-0.6,-0.569999993
6.401493311,0,-0.003,-0.6,-0.657999992
6.601467609,0,0,-0.6,-0.614000022
6.801492691,0,-0.003,-0.6,-0.569999993
7.001398563,0,-0.003,-0.6,-0.569999993
7.201603413,0,0,-0.6,-0.614000022
7.401293516,0,-0.003,-0.6,-0.569999993
7.601493835,0,0,-0.6,-0.526000023
7.801537275,0,0.003,0.6,-0.569999993
8.001387596,0,-0.003,0.6,0.043000001
8.201667786,0,0.007,0.6,0.43900001
8.401582956,0,0,0.6,0.526000023
8.601428032,0,0,0.6,0.526000023
8.801437378,0,0,0.6,0.614000022
9.001286745,0,0,0.6,0.614000022
9.201474905,0,0,0.6,0.614000022
9.401452541,0,0,0.6,0.614000022
9.601310253,0,0,0.6,0.614000022
