Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
0.00020504,0.010632956,0.010338478,0.017285002,0.010338478,0.017285002,0.025484246,0,0,0,0.010631893,0.210631893
0.009740114,0.010632956,0.010338478,0.017285002,0.010338478,0.017285002,0.025484246,0,0,0,0.010631893,0.210631893
0.060495377,0.010632956,0.010338478,0.017285002,0.010338478,0.017285002,0.025484246,0,0,0,0.010631893,0.210631893
0.109644651,0.010632956,0.010338478,0.017285002,0.010338478,0.017285002,0.025484246,0,0,0,0.010631893,0.210631893
0.160818577,0.010832929,0.010341814,0.017388063,0.010341814,0.017388063,0.034416141,0.007,-0.004823295,0,0.010832908,0.210832908
0.211662531,0.011112886,0.010346683,0.01723264,0.010346683,0.01723264,0.025483781,0,0,0,0.011112858,0.211112858
0.264076233,0.011252865,0.010349095,0.015304123,0.010349095,0.015304123,0.037914349,0.007,-0.004680474,-0.086999997,0.011252851,0.211252851
0.31260252,0.011892802,0.010358054,0.012447437,0.010358054,0.012447437,0.034440437,0.007,-0.004484311,0,0.011892738,0.211892738
0.360149622,0.011892802,0.010358054,0.012447437,0.010358054,0.012447437,0.044474763,0.017999999,-0.011531085,0.043000001,0.011892738,0.211892738
0.424226761,0.013652659,0.010380546,0.013454647,0.010380546,0.013454647,0.056133701,0.026000001,-0.016945967,-0.043000001,0.013652483,0.213652483
0.461052179,0.014832559,0.010395854,0.01346329,0.010395854,0.01346329,0.058739145,0.029999999,-0.019578335,0,0.014832559,0.214832559
0.511068344,0.016932368,0.010424126,0.013397897,0.010424126,0.013397897,0.07323826,0.045000002,-0.029401239,0,0.016932158,0.216932158
0.561683655,0.019552113,0.010460776,0.013708722,0.010460776,0.013708722,0.079297792,0.048999999,-0.032255389,-0.043000001,0.019551851,0.219551851
0.610913515,0.022771791,0.010506402,0.013497565,0.010506402,0.013497565,0.086135591,0.056000002,-0.036872008,-0.043000001,0.022771469,0.222771469
0.661598206,0.025251564,0.010539875,0.012346782,0.010539875,0.012346782,0.093862864,0.064000003,-0.041511576,-0.043000001,0.025251316,0.225251316
0.712662697,0.028091348,0.010574939,0.011595426,0.010574939,0.011595426,0.101453714,0.075000003,-0.048215059,0,0.028091064,0.228091064
0.760649443,0.031251136,0.010611579,0.011256103,0.010611579,0.011256103,0.121493062,0.090000004,-0.057717048,-0.086999997,0.03125082,0.23125082
0.811163664,0.034630903,0.010651172,0.01013075,0.010651172,0.01013075,0.112010918,0.090000004,-0.056884179,0,0.034630565,0.234630565
0.871890783,0.040330628,0.010707179,0.007741485,0.010707179,0.007741485,0.136321761,0.108999997,-0.066599985,-0.043000001,0.040330058,0.240330058
