Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
9.35E-05,0.015894362,0.026086312,0.012533582,0.026086312,0.012533582,0.028229252,0,0,0,0.015892772,0.215892772
0.005347252,0.015894362,0.026086312,0.012533582,0.026086312,0.012533582,0.028229252,0,0,0,0.015892772,0.215892772
0.054828405,0.015894362,0.026086312,0.012533582,0.026086312,0.012533582,0.028229252,0,0,0,0.015892772,0.215892772
0.104685307,0.015894362,0.026086312,0.012533582,0.026086312,0.012533582,0.028229252,0,0,0,0.015892772,0.215892772
0.158100843,0.016014352,0.026087868,0.012587651,0.026087868,0.012587651,0.028230902,0,0,0,0.016014339,0.216014339
0.206504822,0.016214337,0.026090265,0.011704043,0.026090265,0.011704043,0.034176765,0.007,-0.009783739,0,0.016214317,0.216214317
0.256062508,0.016414322,0.026092726,0.012165331,0.026092726,0.012165331,0.034194002,0.007,-0.009816253,0,0.016414302,0.216414302
0.305705309,0.016994275,0.026100092,0.013547544,0.026100092,0.013547544,0.045100045,0.017999999,-0.02549228,-0.043000001,0.016994217,0.216994217
0.356829882,0.017794207,0.026110551,0.010674881,0.026110551,0.010674881,0.04681206,0.022,-0.030547765,0,0.017794127,0.217794127
0.406032324,0.018754156,0.02612042,0.010179834,0.02612042,0.010179834,0.058979743,0.033,-0.045676686,-0.043000001,0.01875406,0.21875406
0.458271742,0.020754063,0.026139627,0.007753161,0.026139627,0.007753161,0.06158633,0.037,-0.050365257,-0.086999997,0.020753863,0.220753863
0.506061077,0.023793994,0.026159962,0.004978891,0.026159962,0.004978891,0.052688786,0.041000001,-0.054732204,0.043000001,0.023793994,0.223793994
0.556159735,0.025673974,0.026168548,0.004705512,0.026168548,0.004705512,0.061361862,0.045000002,-0.0599695,0,0.025673786,0.225673786
0.606506824,0.027753951,0.026178335,0.003356255,0.026178335,0.003356255,0.077182545,0.052000001,-0.068632819,-0.086999997,0.027753743,0.227753743
0.657010794,0.030073938,0.026186122,0.001282189,0.026186122,0.001282189,0.0849579,0.059999999,-0.077990809,-0.086999997,0.030073706,0.230073706
0.705983162,0.032473936,0.026187111,-0.001340834,0.026187111,-0.001340834,0.092006031,0.067000002,-0.085365084,-0.086999997,0.032473696,0.232473696
0.757742882,0.035093934,0.02618475,-0.00253664,0.02618475,-0.00253664,0.107233025,0.082999997,-0.104765442,-0.086999997,0.035093672,0.235093672
0.805835724,0.042833822,0.026145844,-0.009251633,0.026145844,-0.009251633,0.108362674,0.082999997,-0.099128539,-0.086999997,0.042833048,0.242833048
0.869164228,0.046513626,0.026107902,-0.012942735,0.026107902,-0.012942735,0.115870481,0.093999997,-0.108679491,-0.043000001,0.046513258,0.246513258
0.906003952,0.050493218,0.026051257,-0.01626167,0.026051257,-0.01626167,0.123642398,0.097999997,-0.109835467,-0.086999997,0.05049282,0.25049282
0.956117153,0.054692633,0.025981086,-0.020389903,0.025981086,-0.020389903,0.136392412,0.108999997,-0.117364002,-0.130999997,0.054692213,0.254692213
1.00591588,0.058971662,0.025890031,-0.024409082,0.025890031,-0.024409082,0.139271399,0.112999998,-0.116699994,-0.086999997,0.058971662,0.258971662
1.058090687,0.063490215,0.025775782,-0.028599958,0.025775782,-0.028599958,0.153022379,0.123999998,-0.122255377,-0.130999997,0.063489763,0.263489763
1.107235909,0.075823285,0.025364142,-0.03856456,0.025364142,-0.03856456,0.156113929,0.128000006,-0.111074622,-0.086999997,0.075822052,0.275822052
1.157920122,0.081159035,0.02515119,-0.042741839,0.02515119,-0.042741839,0.163837713,0.135000005,-0.110189711,-0.086999997,0.081158501,0.281158501
1.205803394,0.086873595,0.024901861,-0.046885228,0.024901861,-0.046885228,0.170090214,0.147,-0.112193063,-0.043000001,0.086873023,0.286873023
1.257632971,0.092806811,0.024618111,-0.050481483,0.024618111,-0.050481483,0.184924447,0.153999999,-0.109944583,-0.130999997,0.092806218,0.292806218
1.30674839,0.098958829,0.024304632,-0.054576146,0.024304632,-0.054576146,0.185127849,0.153999999,-0.101365404,-0.130999997,0.098958214,0.298958214
1.360971451,0.105648369,0.023930468,-0.059226107,0.023930468,-0.059226107,0.193240466,0.162,-0.096229988,-0.130999997,0.1056477,0.3056477
1.405777931,0.123251156,0.022787367,-0.073345086,0.022787367,-0.073345086,0.216077803,0.185000002,-0.073695463,-0.130999997,0.123249395,0.323249395
1.457769632,0.130530793,0.022242604,-0.07857444,0.022242604,-0.07857444,0.218418615,0.187999994,-0.060124718,-0.086999997,0.130530065,0.330530065
1.506029367,0.138345501,0.021613524,-0.083792359,0.021613524,-0.083792359,0.230462155,0.200000003,-0.047435287,-0.130999997,0.13834472,0.33834472
1.557322025,0.146376611,0.020931769,-0.087593788,0.020931769,-0.087593788,0.236891307,0.207000002,-0.034350608,-0.130999997,0.146375808,0.346375808
1.606018066,0.154703583,0.020189409,-0.09074114,0.020189409,-0.09074114,0.244076692,0.215000004,-0.021103336,-0.130999997,0.15470275,0.35470275
1.657827377,0.163346827,0.019391429,-0.092361059,0.019391429,-0.092361059,0.255950882,0.230000004,-0.009830994,-0.043000001,0.163345963,0.363345963
1.707356691,0.181725696,0.017662709,-0.095237235,0.017662709,-0.095237235,0.256470068,0.230000004,0.016384487,-0.043000001,0.181723858,0.381723858
1.756208658,0.196059214,0.016280781,-0.09820986,0.016280781,-0.09820986,0.263562791,0.245000005,0.041473068,-0.043000001,0.19605778,0.39605778
1.806306601,0.211205633,0.014786128,-0.098413199,0.014786128,-0.098413199,0.264828826,0.25999999,0.0638221,-0.043000001,0.211204118,0.411204118
1.857575655,0.21630086,0.014283066,-0.098531424,0.014283066,-0.098531424,0.271203226,0.256000012,0.06954105,0,0.21630035,0.41630035
1.905634165,0.237318476,0.012206004,-0.096685482,0.012206004,-0.096685482,0.252934021,0.268000007,0.095560377,-0.043000001,0.237316374,0.437316374
1.95522809,0.237318476,0.012206004,-0.096685482,0.012206004,-0.096685482,0.300591438,0.270999998,0.09663008,0.086999997,0.237316374,0.437316374
2.006835699,0.258701754,0.010170135,-0.090447143,0.010170135,-0.090447143,0.292603407,0.263999999,0.104487483,0.174999997,0.258699616,0.458699616
2.056960106,0.269299929,0.009227775,-0.087092353,0.009227775,-0.087092353,0.286325526,0.275000006,0.112560606,0.043000001,0.269298869,0.469298869
2.105855465,0.286058309,0.007789209,-0.082509407,0.007789209,-0.082509407,0.284661147,0.282999992,0.123207649,0.043000001,0.286056633,0.486056633
2.156831026,0.303103003,0.00641548,-0.076603629,0.00641548,-0.076603629,0.314385119,0.286000013,0.127269205,0.086999997,0.303101298,0.503101298
2.209138155,0.320235139,0.005134415,-0.07080661,0.005134415,-0.07080661,0.28735381,0.289999992,0.130819434,0.043000001,0.320233425,0.520233425
2.257331133,0.331966733,0.004317585,-0.065870431,0.004317585,-0.065870431,0.328319547,0.298000008,0.131898397,0.130999997,0.33196556,0.53196556
