Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
1.81512928,0.031202828,0.092634708,0.649189521,0.043522971,-0.133323038,0.209285979,0.180999994,-0.163095824,-0.263000011,0.087440695,0.287440695
1.86186409,0.037269842,0.097211924,0.636928151,0.04249318,-0.145063904,0.216444517,0.187999994,-0.140291295,-0.263000011,0.094948182,0.294948182
1.916195393,0.040356919,0.099495681,0.631736279,0.041938614,-0.149976236,0.238397671,0.210999995,-0.14266777,-0.263000011,0.098736245,0.298736245
1.961138248,0.056965476,0.111374554,0.606810237,0.038684806,-0.173230007,0.24061339,0.215000004,-0.067834166,-0.130999997,0.118826383,0.318826383
2.016629219,0.063972185,0.116221841,0.600183632,0.037206076,-0.179065479,0.248099696,0.222000003,-0.043591495,-0.218999997,0.127187934,0.327187934
2.060914993,0.071377408,0.121266034,0.5950924,0.035594624,-0.183264217,0.257930103,0.233999997,-0.020356792,-0.086999997,0.135969322,0.335969322
2.117999077,0.079068996,0.1264581,0.590937852,0.033895853,-0.186428524,0.257098794,0.233999997,0.003844954,-0.086999997,0.145058094,0.345058094
2.162012577,0.095242166,0.137244213,0.582809391,0.030261294,-0.19226075,0.275480018,0.252000004,0.057939623,-0.130999997,0.164081099,0.364081099
2.212954521,0.095242166,0.137244213,0.582809391,0.030261294,-0.19226075,0.277380528,0.256000012,0.058859301,-0.086999997,0.164081099,0.364081099
2.262907982,0.116683812,0.15128603,0.575228106,0.025331083,-0.196342847,0.274418681,0.256000012,0.123922381,-0.086999997,0.189135391,0.389135391
2.313664198,0.125571904,0.157042811,0.574298202,0.023268576,-0.195664267,0.280185783,0.25999999,0.14748744,-0.043000001,0.199484102,0.399484102
2.362800121,0.134437813,0.162779493,0.575327927,0.021224243,-0.192933858,0.285870047,0.263999999,0.16613935,0.086999997,0.209806531,0.409806531
2.418013573,0.143532729,0.168677638,0.578237201,0.019155536,-0.188173114,0.307123176,0.282999992,0.190208738,0.130999997,0.220409953,0.420409953
2.461112261,0.162321834,0.181019314,0.587195048,0.01506073,-0.175023843,0.307095048,0.282999992,0.20323905,0.130999997,0.242441817,0.442441817
2.513229847,0.162321834,0.181019314,0.587195048,0.01506073,-0.175023843,0.313231303,0.289999992,0.208266164,0.130999997,0.242441817,0.442441817
2.561723709,0.18643836,0.197268134,0.602176867,0.010246894,-0.153870885,0.31552272,0.289999992,0.206060554,0.130999997,0.271042503,0.471042503
2.617706776,0.196318265,0.204078989,0.608096674,0.00844054,-0.145142068,0.328270662,0.301999986,0.210653313,0.174999997,0.282880216,0.482880216
2.661340714,0.20644726,0.211162229,0.615476669,0.006697865,-0.134702755,0.343065686,0.317000002,0.210202656,0.174999997,0.295093598,0.495093598
2.719031811,0.21665699,0.218408713,0.623199185,0.005058634,-0.123699071,0.358475159,0.331999987,0.204799512,0.174999997,0.307486576,0.507486576
2.761352777,0.237558477,0.233635431,0.638933279,0.002125296,-0.100581875,0.356674397,0.328000009,0.161346986,0.218999997,0.333153055,0.533153055
2.812990189,0.248137145,0.241530422,0.647197998,0.0008555,-0.0882151,0.360259596,0.331999987,0.135909428,0.174999997,0.346285857,0.546285857
2.868141413,0.264497358,0.254015387,0.661494479,-0.000792703,-0.067043137,0.330286445,0.354000002,0.085843682,0.263000011,0.366799536,0.566799536
2.915510654,0.275637601,0.262735197,0.671088439,-0.001667836,-0.052366327,0.34393663,0.365999997,0.040818787,0.218999997,0.380925824,0.580925824
2.960673332,0.286752746,0.271592875,0.678672848,-0.002348683,-0.039361388,0.322406269,0.354000002,-0.005105276,0.174999997,0.39513327,0.59513327
3.016015768,0.297883584,0.2806021,0.685460661,-0.002845855,-0.026784561,0.324462676,0.354000002,-0.052254245,0.086999997,0.409459684,0.609459684
