Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
9.23E-05,0.013324602,0.010279036,0.76849157,-0.002152955,-0.016802371,0.024593003,0,0,0,0.016688849,0.216688849
0.00570941,0.013324602,0.010279036,0.76849157,-0.002152955,-0.016802371,0.024593003,0,0,0,0.016688849,0.216688849
0.056096077,0.013324602,0.010279036,0.76849157,-0.002152955,-0.016802371,0.024593003,0,0,0,0.016688849,0.216688849
0.107783318,0.013324602,0.010279036,0.76849157,-0.002152955,-0.016802371,0.024593003,0,0,0,0.016688849,0.216688849
0.154620647,0.013324602,0.010279036,0.76849157,-0.002152955,-0.016802371,0.024593003,0,0,0,0.016688849,0.216688849
0.206249237,0.013410842,0.01036248,0.769496999,-0.002154919,-0.015795417,0.032038138,0.003,0.000604627,-0.043000001,0.016810493,0.216810493
0.259779692,0.013496997,0.010446009,0.770632663,-0.002156763,-0.014658238,0.027953684,0.003,0.000570511,0.043000001,0.016930482,0.216930482
0.306886435,0.013812282,0.010752922,0.776234964,-0.002162635,-0.009050288,0.033284483,0.011,0.001474489,0.130999997,0.017370423,0.217370423
0.365290165,0.014382318,0.011314222,0.783031136,-0.002168718,-0.00224347,0.04334696,0.022,0.001444363,0.174999997,0.018170386,0.218170386
0.413400412,0.0151601,0.012092071,0.79350101,-0.002168525,0.008241833,0.038525481,0.017999999,-0.000721409,0.218999997,0.019270387,0.219270387
0.463614941,0.015914633,0.012864774,0.803701845,-0.002155519,0.018458704,0.05030104,0.029999999,-0.004312402,0.174999997,0.020350341,0.220350341
0.512963057,0.017147224,0.014148951,0.810163373,-0.002118742,0.024948582,0.054757364,0.033,-0.006992053,0.130999997,0.022129949,0.222129949
0.562672853,0.018166996,0.015221549,0.813477248,-0.002081098,0.028287849,0.063946408,0.041000001,-0.010180977,0.130999997,0.023609553,0.223609553
0.618415117,0.019238215,0.016355607,0.816856814,-0.002036316,0.03169597,0.062248938,0.037,-0.010576794,0.086999997,0.025168961,0.225168961
0.66601181,0.020469201,0.017668875,0.819868228,-0.001977677,0.034742609,0.069484698,0.045000002,-0.014430132,0.086999997,0.026968052,0.226968052
