Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
7.44E-05,-0.028068702,-0.010573103,0.755899389,0.012368613,-0.029212193,0.024674674,0,0,0,-0.027327449,0.2
0.005888462,-0.028068702,-0.010573103,0.755899389,0.012368613,-0.029212193,0.024674674,0,0,0,-0.027327449,0.2
0.05942297,-0.028068702,-0.010573103,0.755899389,0.012368613,-0.029212193,0.024674674,0,0,0,-0.027327449,0.2
0.108108521,-0.028068702,-0.010573103,0.755899389,0.012368613,-0.029212193,0.024674674,0,0,0,-0.027327449,0.2
0.162184,-0.028025043,-0.010531946,0.756469975,0.012366861,-0.028642851,0.024834538,0,0,0,-0.027267458,0.2
0.211973906,-0.028025043,-0.010531946,0.756469975,0.012366861,-0.028642851,0.028275206,0.003,-0.000788534,0.043000001,-0.027267458,0.2
0.268510342,-0.027821539,-0.010339628,0.758955806,0.01235903,-0.026162794,0.027940374,0.011,-0.003138899,0.130999997,-0.026987496,0.2
0.31393075,-0.026853728,-0.009412847,0.772267986,0.012330374,-0.012877432,0.002550999,0.015,-0.006100406,0.174999997,-0.025647485,0.2
0.363132238,-0.026438663,-0.009007729,0.777954183,0.012323484,-0.007202424,0.03436891,0.015,-0.006887865,0.086999997,-0.02506738,0.2
0.413071871,-0.026125595,-0.008698555,0.782557348,0.012320835,-0.002607579,0.02629597,0.007,-0.003513025,0.086999997,-0.024627285,0.2
0.464120865,-0.025813954,-0.008387943,0.787294146,0.012320208,0.002121047,0.027447031,0.011,-0.006005533,0.130999997,-0.024187184,0.2
0.515575171,-0.02540528,-0.00797638,0.792509568,0.012322378,0.007325921,0.043644601,0.017999999,-0.010715247,0.043000001,-0.023607059,0.2
0.567130804,-0.024787785,-0.007349403,0.793956361,0.012329265,0.008757194,0.044024445,0.017999999,-0.011032971,0.043000001,-0.022726896,0.2
0.617605686,-0.023080175,-0.005606515,0.798415894,0.012354646,0.013176761,0.044831507,0.017999999,-0.0120063,0.043000001,-0.020286558,0.2
0.66898942,-0.023080175,-0.005606515,0.798415894,0.012354646,0.013176761,0.051382388,0.026000001,-0.017342434,0.043000001,-0.020286558,0.2
