Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
9.73E-05,-0.03039217,-0.004295517,0.751130439,0.018451199,-0.034036266,0.025758256,0,0,0,-0.024532187,0.2
0.006214619,-0.03039217,-0.004295517,0.751130439,0.018451199,-0.034036266,0.025758256,0,0,0,-0.024532187,0.2
0.055691719,-0.03039217,-0.004295517,0.751130439,0.018451199,-0.034036266,0.025758256,0,0,0,-0.024532187,0.2
0.104703426,-0.03039217,-0.004295517,0.751130439,0.018451199,-0.034036266,0.025758256,0,0,0,-0.024532187,0.2
0.156485081,-0.030289841,-0.004199972,0.75272736,0.018446434,-0.03244195,0.008651759,0.011,-0.005260266,0.130999997,-0.02439222,0.2
0.206494808,-0.029910869,-0.003843911,0.758151,0.018430351,-0.027027856,0.011029236,0.015,-0.007929673,0.086999997,-0.023872294,0.2
0.256369591,-0.029316614,-0.003278881,0.767807227,0.018409859,-0.017386271,0,0.011,-0.006805297,0.130999997,-0.023052284,0.2
0.306331635,-0.028742942,-0.002721301,0.776259242,0.018398638,-0.008948053,0,0.011,-0.007686473,0.130999997,-0.02225211,0.2
0.357365608,-0.028543322,-0.002524955,0.779965438,0.018396376,-0.005246572,0,0.007,-0.005135852,0.086999997,-0.021972029,0.2
0.406246662,-0.028500666,-0.00248276,0.780825414,0.018396061,-0.004387599,0.025289706,0,0,0,-0.02191201,0.2
0.454565048,-0.028500666,-0.00248276,0.780825414,0.018396061,-0.004387599,0.025289706,0,0,0,-0.02191201,0.2
0.504528522,-0.028500666,-0.00248276,0.780825414,0.018396061,-0.004387599,0.025289706,0,0,0,-0.02191201,0.2
0.555965185,-0.028415389,-0.002398333,0.780462366,0.018395483,-0.004752644,0.025223431,0,0,0,-0.021791975,0.2
0.624266863,-0.028060472,-0.002046149,0.785136878,0.01839364,-8.63E-05,0.029957949,0.007,-0.005492234,0,-0.021291829,0.2
0.656246424,-0.027693237,-0.001677994,0.790895284,0.018394379,0.005663738,0,0.011,-0.009240705,0.130999997,-0.020771676,0.2
0.707313538,-0.027328117,-0.001307742,0.796915314,0.018398091,0.01167564,0,0.022,-0.0197612,0.086999997,-0.02025154,0.2
0.755842924,-0.026867106,-0.000835441,0.802987018,0.018406177,0.017737324,0,0.011,-0.010542483,0.130999997,-0.019591406,0.2
0.806630135,-0.0265065,-0.00046079,0.807130116,0.018416183,0.02187276,0,0.011,-0.011004495,0.043000001,-0.01907136,0.2
0.856637239,-0.025995059,7.40E-05,0.807358608,0.018432811,0.022090702,0.040656387,0.011,-0.011101464,-0.043000001,-0.018331354,0.2
0.906187296,-0.025663388,0.000421005,0.809409161,0.018443697,0.024134632,0.031138566,0.007,-0.007225935,0,-0.017851352,0.2
0.956446648,-0.025566798,0.000522348,0.808249479,0.018447075,0.022973052,0.026948306,0,0,0,-0.017711356,0.2
1.006074667,-0.025317846,0.000782392,0.804991025,0.018454961,0.019709784,0.0470915,0.015,-0.014950588,-0.086999997,-0.017351354,0.2
1.057063103,-0.024859938,0.001257701,0.803648682,0.01846734,0.018358868,0.038206845,0.022,-0.021789529,0,-0.016691314,0.2
1.106081486,-0.024193616,0.001948799,0.805154869,0.018484958,0.019853175,0,0.037,-0.037481176,0.086999997,-0.015731259,0.2
1.156064987,-0.022810029,0.003392986,0.80935203,0.018527978,0.024027823,0,0.033,-0.035338429,0.043000001,-0.013731327,0.2
1.207633495,-0.02097811,0.005321628,0.813232719,0.018596533,0.027883258,0,0.033,-0.037431352,0.043000001,-0.011071765,0.2
1.256871939,-0.020373972,0.005961485,0.814584743,0.01862183,0.029228104,0,0.022,-0.025441647,0.086999997,-0.01019195,0.2
1.30705905,-0.019880154,0.006485454,0.816310381,0.018643179,0.030948306,0.040661392,0.011,-0.012986604,-0.043000001,-0.009472163,0.2
1.356119156,-0.01968834,0.006689433,0.814537591,0.01865179,0.029173507,0.034072567,0.003,-0.00350093,-0.043000001,-0.009192255,0.2
