Time (s),x (m),y (m),yaw (rad),CTE (m),Orientation Error (rad),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s),nearest s,look-ahead s
1.80469203,0.490668213,0.434710847,0.539969559,0.00616858,0.00755482,0.4,0.404000014,-0.861102897,-0.833999991,0.655990792,0.855990792
1.855023861,0.504393639,0.442775562,0.50529217,0.006305509,-0.007305105,0.4,0.395999998,-0.849822674,-0.833999991,0.671786103,0.871786103
1.906625748,0.517552093,0.449340456,0.470380928,0.005716367,-0.022485636,0.4,0.404000014,-0.858776888,-0.921999991,0.686361332,0.886361332
1.955423117,0.543188799,0.459117091,0.39683811,0.002742265,-0.055177605,0.4,0.404000014,-0.805226625,-0.921999991,0.713467172,0.913467172
2.003523588,0.543188799,0.459117091,0.39683811,0.002742265,-0.055177605,0.4,0.400000006,-0.797254068,-0.878000021,0.713467172,0.913467172
2.054835081,0.580938479,0.473420616,0.311187792,0.000526792,-0.068310604,0.4,0.411000013,-0.95560466,-0.921999991,0.753667191,0.953667191
2.104611874,0.596059516,0.478136555,0.276604585,-0.000436143,-0.069703422,0.4,0.395999998,-0.99293329,-0.833999991,0.769479222,0.969479222
2.155051231,0.603678483,0.480299434,0.260770193,-0.000918121,-0.067781235,0.4,0.404000014,-1,-0.833999991,0.777396768,0.977396768
2.206668615,0.627180839,0.486141244,0.209847968,-0.002269323,-0.059090128,0.4,0.400000006,-1,-0.878000021,0.801675653,1.001675653
2.254877806,0.658856149,0.492005324,0.137798579,-0.003576572,-0.037667358,0.4,0.39199999,-1,-0.878000021,0.834148337,1.034148337
2.304561615,0.674564044,0.494041839,0.100438268,-0.003903103,-0.022430016,0.4,0.400000006,-1,-0.964999974,0.850184529,1.050184529
2.355578184,0.690418423,0.495477371,0.062480791,-0.003970023,-0.002870422,0.4,0.404000014,-1,-1.008999944,0.866332268,1.066332268
2.406861067,0.706235691,0.496310042,0.023991939,-0.003688405,0.020464745,0.4,0.400000006,-1,-1.052999973,0.882408096,1.082408096
2.454527617,0.722153384,0.49653053,-0.014198179,-0.003000874,0.048704817,0.4,0.395999998,-1,-1.008999944,0.898537346,1.098537346
2.50479579,0.746056287,0.495717133,-0.073050343,-0.001053782,0.096166498,0.4,0.39199999,-1,-1.052999973,0.922600078,1.122600078
2.555264473,0.777485176,0.492501835,-0.1496139,0.003362774,0.16592492,0.4,0.400000006,-1,-0.964999974,0.953739595,1.153739595
2.605609417,0.792906449,0.490022636,-0.189260205,0.006345439,0.198032709,0.4,0.395999998,-1,-1.008999944,0.968728315,1.168728315
2.654631853,0.808273706,0.486910921,-0.227843808,0.009808755,0.229455024,0.4,0.39199999,-1,-0.964999974,0.983458425,1.183458425
2.706167936,0.823532967,0.483220211,-0.266271815,0.013750987,0.258127961,0.4,0.38499999,-1,-0.964999974,0.99786803,1.19786803
2.755354643,0.837137976,0.47933355,-0.304509387,0.01759511,0.277382998,0.4,0.38499999,-1,-0.964999974,1.010587092,1.210587092
2.805797338,0.850523008,0.474235708,-0.359768924,0.02108563,0.277958757,0.4,0.39199999,-1,-0.964999974,1.023401064,1.223401064
2.854863644,0.877273492,0.462930486,-0.436917119,0.029402403,0.303623286,0.4,0.400000006,-1,-0.964999974,1.048648878,1.248648878
2.904776096,0.891411422,0.456151398,-0.476772485,0.034316268,0.31379222,0.4,0.395999998,-1,-1.008999944,1.061951012,1.261951012
2.955075741,0.905552387,0.448667541,-0.517268472,0.039468086,0.320746169,0.4,0.395999998,-1,-1.008999944,1.075350719,1.275350719
3.007069826,0.919558885,0.441327387,-0.554539954,0.045290154,0.326377432,0.4,0.400000006,-1,-0.964999974,1.088238066,1.288238066
3.05511117,0.946745791,0.429096512,-0.624521771,0.059415893,0.325610854,0.4,0.395999998,-1,-0.921999991,1.110883329,1.310883329
3.10410738,0.946745791,0.429096512,-0.624521771,0.059415893,0.325610854,0.4,0.404000014,-1,-1.008999944,1.110883329,1.310883329
3.154627085,0.97852981,0.404247401,-0.722236024,0.072538534,0.314738181,0.4,0.411000013,-1,-1.008999944,1.14333548,1.34333548
3.206146717,0.990423091,0.3935459,-0.76372477,0.077569695,0.30414877,0.4,0.400000006,-1,-1.052999973,1.156205031,1.356205031
3.255142689,1.001634943,0.381721921,-0.804080068,0.081933246,0.293862941,0.4,0.404000014,-1,-1.008999944,1.169507793,1.369507793
3.305408239,1.011454865,0.36840321,-0.845377129,0.084852282,0.281995551,0.4,0.39199999,-1,-0.964999974,1.183342369,1.383342369
3.354753256,1.031452611,0.342745042,-0.925216625,0.092754589,0.2546483,0.4,0.395999998,-1,-1.008999944,1.210245907,1.410245907
3.404697895,1.040901074,0.329933105,-0.964432562,0.096792269,0.239095371,0.4,0.400000006,-1,-0.964999974,1.223401868,1.423401868
3.45533371,1.054261253,0.309831113,-1.021697098,0.102447348,0.215758625,0.4,0.411000013,-1,-1.008999944,1.24348949,1.44348949
3.507013083,1.066366403,0.298584624,-1.059809784,0.110351324,0.197411005,0.4,0.395999998,-1,-1.008999944,1.255897084,1.455897084
3.554604053,1.079477624,0.287506811,-1.100441656,0.119544272,0.175616445,0.4,0.400000006,-1,-1.052999973,1.268227752,1.468227752
3.605905771,1.089198743,0.274596253,-1.139630123,0.12523942,0.15524425,0.4,0.400000006,-1,-0.964999974,1.28105038,1.48105038
3.655032396,1.101710189,0.245151967,-1.21643547,0.129853088,0.115655752,0.4,0.395999998,-1,-0.921999991,1.307964764,1.507964764
3.705137253,1.107121864,0.23009568,-1.25412769,0.131693239,0.095714305,0.4,0.404000014,-1,-1.008999944,1.321536188,1.521536188
3.754666567,1.115171788,0.205699391,-1.312291419,0.134553507,0.064942379,0.4,0.407000005,-1,-0.964999974,1.343421384,1.543421384
3.805798769,1.120390719,0.188855504,-1.350558016,0.1365942,0.044760173,0.4,0.395999998,-1,-1.097000003,1.358485198,1.558485198
3.854542971,1.1243274,0.172554431,-1.389871153,0.137765767,0.022248191,0.4,0.400000006,-1,-1.052999973,1.372909078,1.572909078
3.906329155,1.127047718,0.156727472,-1.431855687,0.138078007,-0.00398305,0.4,0.39199999,-1,-1.052999973,1.386792341,1.586792341
3.95528388,1.130507086,0.124642213,-1.513374962,0.137430879,-0.054752094,0.4,0.39199999,-1,-0.964999974,1.414822898,1.614822898
4.004835844,1.129705218,0.108452136,-1.551261662,0.13494128,-0.077736423,0.4,0.400000006,-1,-1.052999973,1.428810494,1.628810494
4.054559469,1.123157804,0.090857534,-1.587475225,0.126848106,-0.098338618,0.4,0.395999998,-1,-1.008999944,1.443706741,1.643706741
